start	end	text
0	6020	はい皆様お待たせしました
6020	7100	12時になりましたので
7100	8640	今日はですね
8640	9740	ランクチンインタラプト
9740	11460	2026というイベントがですね
11460	13280	今サンフランシスコで
13280	15060	行われておりまして
15060	16500	そこの現地にですね
16500	19220	Gの吉田さんがいると
19220	21220	私は今日本にいるので
21220	24060	ちょっと現地どんな様子だったのか
24060	24980	という話もですね
24980	26840	吉田さんから伺いながら
26840	29400	今AIエージェントの最前線では
29400	31100	何が起こっているのかという話をですね
31100	33360	この1時間話していきたいなという風に
33360	34340	思っております
34340	35680	よろしくお願いします
35680	37720	よろしくお願いします
37720	40740	現地今何時ですか
40740	43760	現地今夜8時ですね
43760	45160	まだ明るいですけど
45160	47140	前回もね
47140	49500	去年も実はこのリキャップのイベント
49500	50760	やっておりまして
50760	54120	2025はランクチン初めての
54120	56160	AIエージェントのイベントだったんですけども
56960	57760	Gのね
57760	59220	共同創業者3人で
59220	61320	行ったという感じですね
61320	63040	ちょうどその時も
63040	64180	20時ぐらいに
64180	66080	ホテルで配信をしていたと
66080	68500	いう感じで
68500	69440	今回はですね
69440	70560	現地20時と
70560	72120	いう感じですね
72120	74400	なんかこう
74400	75800	そっち寒いですか
75800	78660	寒いっす
78660	79380	おー
79380	81800	なんかね
81800	83200	肌寒い感じがあったな
83200	84640	という記憶はあるんですけど
84640	86480	めちゃめちゃ寒いっす
86480	87480	寒暖差も
87480	90040	昼と夜の寒暖差もあるだし
90040	91260	風吹くと寒い時
91260	94900	東京の格好のまま来たのをね
94900	96480	悔やんでます
96480	98420	って言ったらね
98420	98980	なんかね
98980	100860	裏肝の
100860	102560	スウェットが
102560	103480	イベントで
103480	103960	伝わられた
103960	107060	なんかロベルティというかね
107060	109320	グッズってどんな感じだったんですか
109320	110600	いやもうこれだけっすね
110600	112640	これとあとはなんかバッグみたいな
112640	113720	ぐらいで
113720	117540	なんか僕アンバサダーなんで
117540	119000	アンバサダーの
119000	122260	バッジが他と違うぐらいで
122260	123020	なんかね
123020	124820	参加者いろいろ見たんですけど
124820	127040	ラングチェーンの
127040	128580	リュックだったりとか
128580	130640	ラングチェーンの
130640	132120	他のスワッグ
132120	132940	多分
132940	136580	インタラフトで配ってるやつじゃない気がするんですけど
136580	138260	なるほどね
138260	140580	人たちも多くて
140580	144320	いや何にせよまず先に
144320	148620	ちょっと雰囲気伝えたいなと思ったのは
148620	149720	あれですね
149720	156540	人数がすごい増えてるのと
156540	160660	去年の1.5倍ぐらいに増えてるのと
160660	163160	あとはあれですね
163160	163600	その
163600	166760	ラングチェーングッズを
166760	171800	身を固めてる人がすごい多いっていうところで
171800	175220	なんか日本で感じてる
175220	179280	雰囲気とちょっと違うなっていう
179280	184460	かなりエンゲージメントが高いかなっていう
184460	185820	特に
185820	188100	ハリソンとかって
188100	190240	出てくると
190240	192520	もうなんかロックスターみたいに
192520	194120	ふーっていう感じになって
194120	197440	なんかデブレーでサムが現れた時みたいな感じの
197440	197760	そうそう
197760	201120	なんかやっぱり
201120	204300	日本語になってる情報っていうのが多くないんで
204300	207060	あまりその僕らとラングチェーンの関係って
207060	208080	あとその
208080	210560	僕らってエキスパートもやってるけど
210560	213880	そんなにビジネス的に
213880	216240	抜き差しならない状態にはなってないじゃないですか
216240	217280	うーん
217280	219500	なのでちょっとそれと比べると
219500	221440	ちょっとアメリカのエンゲージメントと
221440	224680	日本のユーザーのエンゲージメントと若干違うのかなっていうのは
224680	226040	感じたとこですね
226040	227780	なるほどね
227780	230000	日本だとどっちかっていうと
230000	232300	ラングチェーンオワコンで検索されるみたいなね
232300	233340	そうそうそうそう
233340	234160	どこまである
234160	236700	なんかとりあえず
236700	237020	あの
237020	240680	ハイパースケーラーとかがね
240680	242700	それぞれ出してるものとかに
242700	246120	もう垂直統合して使うみたいなところで
246120	248820	そっちはさもう10年
248820	250720	10何年かけて
250720	253220	作ってきたエンゲージメントじゃないですか
253220	254760	なんでそっち側に乗っかって
254760	255820	AIの流れというか
255820	257860	インフラからAIに向かっての
257860	259820	エンゲージメントっていう感じで
259820	261020	乗ってる人が多いけど
261020	263360	ラングチェーンはもう新たに
263360	264740	できてるエンゲージメント
264740	266180	かつオープンAIや
266180	268400	アンストロピックと
268400	270200	ユーザーのエンゲージメントっていう
270200	271560	ノリとも違う
271560	273680	なんかね
273680	275000	いいっすよちょっと
275000	275920	まだ
275920	278860	牧歌的な印象もある
278860	281560	ユーザーグループみたいな
281560	281860	そうそう
281860	283900	ファンダムみたいなのがね
283900	284700	ちゃんとあってね
284700	285560	面白い
285560	287920	そういうの構築してるんですね
287920	288500	ちゃんとね
288500	289380	そうですね
289380	290660	それがちょっと大きいかな
290660	291680	違いとして
291680	293380	印象として
293380	296540	アンバサダーも結構いますもんね
296540	299060	日本は我々3人って感じですけど
299060	300920	結構各国にいるというか
300920	302360	特に英語スピーカーの方に
302360	303380	寄ってますね
303380	304360	そうね
304360	305280	でもなんかみんな
305280	306980	すごい仲良しで
306980	308700	スラックの中で
308700	309900	やりとりしてるんですけど
309900	311200	もう多分現地で
311200	311840	会ってんのか
311840	312400	わかんないですけど
312400	314100	スラックでのやりとりが
314100	314360	その
314360	315920	ない中で
315920	316820	もう固まって
316820	317340	いろいろ
317340	318840	おしゃべりとかしたんで
318840	320440	うんうんうん
320440	320700	うん
320700	322220	ちょうどですね
322220	323480	僕らアンバサダーなんで
323480	324220	アンバサダーで
324220	325560	社さんも行ってる感じ
325560	326520	なんですけど
326520	327980	アンバサダービーティングとかね
327980	329200	そういったものはあるんですよね
329200	330160	そうですね
330160	331580	今日の朝1
331580	334400	ハリソンのキーノートの前に
334400	335640	ちょっと朝早めに
335640	337480	みんなで集まって
337480	339800	ハリソンを囲んで
339800	341560	やんややんやって
341560	342980	いろいろ話をしました
342980	343720	もうあの当然
343720	347280	今日発表した内容とかも
347280	349660	こういう流れで
349660	351380	新しいの発表するんだよね
351380	352920	みたいな話だったりとか
352920	353280	うん
353280	354480	で
354480	357160	これってこういうのどうなの
357160	357640	みたいな
357640	358360	それいいよね
358360	359180	みたいな話も
359180	359780	もうそこで
359780	362080	やってたみたいな感じですね
362080	363000	なんか
363000	364600	アンバサダーのみんなの
364600	366800	興味関心の
366800	367900	ところで言うと
367900	368560	どんなところに
368560	369640	集中してたりしました
369640	371420	えっとね
371420	374740	3点ぐらい
374740	376180	あって
376180	379180	まず1個は
379180	379780	えっと
379780	383620	ユースケース的な
383620	384180	えっと
384180	385880	なんだろう
385880	386140	その
386140	387460	バーティカルに深く
387460	388600	掘っていく
388600	390000	とか
390000	391460	そういう方向性は
391460	392060	あるのか
